Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Produtos complementares (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configurações de produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsionamentos de produtos na pesquisa (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
chumbada-jig-head-esferica-natural-anzois-menores,Anzol Jig Head 90° Esférica Natural Anzóis Menores (6# - 1#),<p>Chumbada Jig Head Esférica</p>,Chumbada Oficial,Sem categoria,"","90 Graus, Jig Head, jig head esferica, Jig Head Esferica; Jig Head Esferica Menor, natural",true,Peso,1.75g,,Tamanho do Anzol,2#,,,,,JH930701000017501020,2.0,,-129,continue,manual,1.42,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/products/jig-head-esferica-natural.png?v=1701357897,1,Chumbada Jig Head Esférica Natural Anzóis Menores (6# - 1#),false,,,,,,,,,,,,,,,,,,,,kg,,,active
chumbada-jig-head-esferica-natural-anzois-menores,,,,,,,,,2g,,,6#,,,,,'40598070113394,2.0,,-601,continue,manual,1.56,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/products/Anzol_6_e4406a8c-8685-4586-8130-a8609abec666.jpg?v=1701357897,2,Chumbada Jig Head Esférica Natural Anzóis Menores (6# - 1#),,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/products/Anzol_6_e4406a8c-8685-4586-8130-a8609abec666.jpg?v=1701357897,kg,,,
chumbada-jig-head-esferica-natural-anzois-menores,,,,,,,,,2g,,,4#,,,,,'40598070113250,2.0,,-502,continue,manual,1.56,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/products/Anzol_4_ad7e8bf6-44db-4c50-a380-823f120e7e9c.jpg?v=1701357897,3,Chumbada Jig Head Esférica Natural Anzóis Menores (6# - 1#),,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/products/Anzol_4_ad7e8bf6-44db-4c50-a380-823f120e7e9c.jpg?v=1701357897,kg,,,
chumbada-jig-head-esferica-natural-anzois-menores,,,,,,,,,2g,,,2#,,,,,'40598070113106,2.0,,-974,continue,manual,1.56,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/products/Anzol_2_c932745e-f6e6-41db-924f-02fcaac10581.jpg?v=1701357897,4,Chumbada Jig Head Esférica Natural Anzóis Menores (6# - 1#),,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/products/Anzol_2_c932745e-f6e6-41db-924f-02fcaac10581.jpg?v=1701357897,kg,,,
chumbada-jig-head-esferica-natural-anzois-menores,,,,,,,,,2g,,,1#,,,,,'40598070112962,2.0,shopify,-721,deny,manual,1.56,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/products/Anzol_1_6dc5591b-19e6-4326-a2e0-1ca7b71dab02.jpg?v=1701357897,5,Chumbada Jig Head Esférica Natural Anzóis Menores (6# - 1#),,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/products/Anzol_1_6dc5591b-19e6-4326-a2e0-1ca7b71dab02.jpg?v=1701357897,kg,,,
chumbada-jig-head-esferica-natural-anzois-menores,,,,,,,,,3g,,,2#,,,,,JH9307010000301020,2.0,,-226,continue,manual,1.56,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
chumbada-jig-head-esferica-natural-anzois-menores,,,,,,,,,4g,,,6#,,,,,'40598070113395,4.0,,-576,continue,manual,1.56,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/products/Anzol_6_e4406a8c-8685-4586-8130-a8609abec666.jpg?v=1701357897,kg,,,
chumbada-jig-head-esferica-natural-anzois-menores,,,,,,,,,4g,,,4#,,,,,'40598070113251,4.0,,-521,continue,manual,1.56,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/products/Anzol_4_ad7e8bf6-44db-4c50-a380-823f120e7e9c.jpg?v=1701357897,kg,,,
chumbada-jig-head-esferica-natural-anzois-menores,,,,,,,,,4g,,,2#,,,,,'40598070113107,4.0,,-489,continue,manual,1.56,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/products/Anzol_2_c932745e-f6e6-41db-924f-02fcaac10581.jpg?v=1701357897,kg,,,
chumbada-jig-head-esferica-natural-anzois-menores,,,,,,,,,4g,,,1#,,,,,'40598070112963,4.0,shopify,-738,deny,manual,1.56,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0454/5845/6736/products/Anzol_1_6dc5591b-19e6-4326-a2e0-1ca7b71dab02.jpg?v=1701357897,kg,,,
